icd_code_4;CLASS_GPEAS_EXT;fl_cg;id_age_group;age_group;redistribuir;cod_class;CLASS_GPEAS_v032025;CLASS_GPEAS_PRODUCAO
A00;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A000;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A001;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A009;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A01;other_causes_all;Garbage Code;;;;other_causes_all;other_causes_all;other_causes_all
A010;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A011;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A012;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A013;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A014;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A02;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A020;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A021;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A022;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A028;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A029;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A03;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A030;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A031;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A032;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A033;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A038;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A039;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A04;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A040;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A041;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A042;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A043;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A044;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A045;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A046;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A047;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A048;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A049;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A05;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A050;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A051;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A052;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A053;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A054;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A055;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A058;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A059;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A06;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A060;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A061;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A062;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A063;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A064;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A065;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A066;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A067;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A068;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A069;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A07;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A070;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A071;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A072;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A073;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A074;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A078;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A079;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A08;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A080;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A081;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A082;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
A083;trans_doenças_diarreicas;;;;;trans_doenças_diarreicas;trans_doenças_diarreicas;trans_doenças_diarreicas
